transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN10133,INV20018,119018,2023-06-24,Redemption,194670,228.1025,Approved,Telangana
TXN10134,INV20016,120465,2026-02-24,SIP,230010,3257.932,Pending,Maharashtra
TXN10135,INV20248,120586,2026-05-14,Redemption,134015,1148.2735,Pending,Tamil Nadu
TXN10136,INV20217,119018,2024-12-18,SIP,151496,126.1343,Pending,Telangana
TXN10138,INV20090,119018,2024-01-07,Redemption,195240,184.7247,Approved,Delhi
TXN10139,INV20192,120465,2024-03-16,Redemption,42263,704.9708,Pending,Punjab
TXN10140,INV20153,119018,2023-04-18,SIP,14044,17.5747,Approved,Haryana
TXN10141,INV20170,118632,2025-09-21,Redemption,198903,1906.0976,Pending,West Bengal
TXN10142,INV20029,120586,2026-04-29,Lumpsum,12905,108.8938,Approved,Maharashtra
TXN10143,INV20053,120586,2024-03-08,Lumpsum,32453,310.5253,Pending,Karnataka
TXN10144,INV20034,118632,2025-12-26,Lumpsum,176124,1677.512,Pending,West Bengal
TXN10145,INV20221,120152,2023-03-28,SIP,21411,52.7131,Pending,Punjab
TXN10146,INV20104,120152,2025-05-05,SIP,86136,135.6534,Pending,Gujarat
TXN10147,INV20023,118632,2023-08-05,Redemption,138353,1974.6519,Approved,Gujarat
TXN10148,INV20057,120586,2023-12-11,Lumpsum,140094,1497.2106,Pending,Gujarat
TXN10149,INV20187,120152,2023-10-30,SIP,52713,112.813,Approved,Delhi
TXN10150,INV20046,120152,2025-08-10,Redemption,232223,362.3078,Pending,Gujarat
TXN10151,INV20039,118632,2023-05-20,Redemption,209753,3307.4158,Approved,Gujarat
TXN10153,INV20158,120465,2025-04-11,Redemption,208570,3243.7014,Approved,Haryana
TXN10154,INV20233,120465,2024-01-21,Redemption,17219,296.5214,Pending,Delhi
TXN10155,INV20130,120152,2023-12-20,Lumpsum,116191,225.203,Approved,Gujarat
TXN10156,INV20096,120586,2025-04-03,Redemption,14727,131.4441,Pending,Delhi
TXN10157,INV20085,119018,2026-02-16,Lumpsum,224232,175.5624,Approved,Gujarat
TXN10158,INV20021,120465,2023-10-17,Lumpsum,184102,3437.304,Approved,Punjab
TXN10159,INV20182,119018,2024-09-26,Redemption,176666,134.9179,Pending,West Bengal
TXN10160,INV20131,120586,2023-02-07,Lumpsum,57149,769.3726,Pending,Tamil Nadu
TXN10161,INV20058,119598,2023-11-14,Lumpsum,27513,353.936,Approved,Gujarat
TXN10162,INV20225,120465,2023-09-26,SIP,218932,4148.0106,Approved,Haryana
TXN10163,INV20012,118632,2025-01-16,Redemption,198234,2118.4187,Pending,Tamil Nadu
TXN10164,INV20137,119598,2024-09-25,Lumpsum,249284,2374.208,Pending,Haryana
TXN10165,INV20197,120586,2025-02-21,SIP,211045,1934.5953,Approved,Maharashtra
TXN10166,INV20165,118632,2025-01-30,Lumpsum,75727,825.4713,Approved,Uttar Pradesh
TXN10167,INV20116,120465,2023-10-29,SIP,59205,1149.6117,Pending,Maharashtra
TXN10168,INV20107,119018,2025-03-22,Lumpsum,22392,19.3069,Approved,Gujarat
TXN10170,INV20115,120465,2023-01-11,SIP,219880,4592.3141,Pending,Delhi
TXN10171,INV20199,120586,2024-05-01,SIP,111054,1041.294,Pending,Delhi
TXN10172,INV20029,118632,2026-05-07,Lumpsum,189362,1869.472,Pending,Maharashtra
TXN10173,INV20158,120586,2024-07-05,SIP,23443,203.8699,Pending,Delhi
TXN10174,INV20245,120465,2026-01-19,Redemption,12412,176.0318,Pending,Uttar Pradesh
TXN10175,INV20192,119018,2025-01-01,Redemption,173255,146.4527,Pending,Karnataka
TXN10176,INV20012,120586,2026-01-23,SIP,180485,1483.7636,Pending,Karnataka
TXN10177,INV20208,119598,2023-10-05,SIP,12483,159.9257,Approved,Gujarat
TXN10178,INV20239,120586,2025-11-21,Lumpsum,10599,83.332,Pending,Uttar Pradesh
TXN10179,INV20092,119018,2024-11-10,SIP,115544,96.2532,Pending,West Bengal
TXN10180,INV20087,119598,2025-10-13,Redemption,137125,1329.4765,Pending,West Bengal
TXN10181,INV20021,118632,2026-05-18,Lumpsum,27895,284.8254,Approved,Uttar Pradesh
TXN10182,INV20115,120465,2025-05-22,Redemption,12103,177.5675,Pending,Punjab
TXN10183,INV20112,120586,2023-04-28,Redemption,211002,2796.5805,Approved,Maharashtra
TXN10184,INV20037,120465,2025-06-16,SIP,205083,2977.3955,Pending,West Bengal
TXN10185,INV20244,120465,2023-03-08,Redemption,98521,2075.8744,Pending,Punjab
TXN10186,INV20036,120465,2025-01-21,Redemption,66434,1041.4485,Approved,Karnataka
TXN10187,INV20128,120465,2025-03-03,Lumpsum,185559,2991.922,Approved,Haryana
TXN10188,INV20052,119018,2023-10-05,Redemption,188005,204.0056,Pending,Gujarat
TXN10189,INV20171,120586,2023-05-13,Lumpsum,187596,2453.8391,Approved,Gujarat
TXN10190,INV20131,119598,2023-09-06,SIP,130504,1669.0753,Pending,Haryana
TXN10191,INV20206,120465,2023-09-23,SIP,188939,3593.3625,Pending,West Bengal
TXN10192,INV20211,120465,2023-06-01,Redemption,118958,2390.635,Pending,Karnataka
TXN10193,INV20225,120465,2026-04-18,SIP,239737,3540.6439,Pending,Telangana
TXN10194,INV20040,120586,2023-12-04,Redemption,60105,649.6433,Approved,Delhi
TXN10195,INV20065,119598,2026-02-02,SIP,162068,1563.7305,Approved,Punjab
TXN10196,INV20242,120465,2023-11-12,Redemption,148749,2826.3158,Approved,Delhi
TXN10197,INV20012,120152,2026-03-27,Lumpsum,110205,180.5816,Approved,Haryana
TXN10198,INV20228,120152,2026-01-22,Lumpsum,211944,316.8981,Pending,Uttar Pradesh
TXN10199,INV20117,119018,2023-05-03,Redemption,122750,149.6541,Approved,Gujarat
TXN10200,INV20221,120152,2024-10-15,Redemption,98134,149.4883,Pending,Gujarat
TXN10201,INV20062,118632,2023-09-08,Redemption,26378,360.7865,Pending,Punjab
TXN10202,INV20108,119598,2023-11-24,Redemption,42770,542.2119,Pending,Haryana
TXN10203,INV20226,120586,2025-10-15,SIP,133499,1083.4199,Pending,Tamil Nadu
TXN10204,INV20150,120586,2023-04-10,Lumpsum,232299,3126.9215,Pending,Uttar Pradesh
TXN10205,INV20138,119018,2023-09-08,SIP,191711,205.1344,Pending,Gujarat
TXN10206,INV20012,118632,2023-04-15,Redemption,20275,335.8963,Pending,Telangana
TXN10207,INV20072,120465,2026-06-05,SIP,104259,1590.0412,Pending,Telangana
TXN10208,INV20241,120586,2023-10-23,Lumpsum,11552,136.4195,Approved,Gujarat
TXN10209,INV20206,118632,2025-11-29,SIP,136136,1288.1371,Pending,Karnataka
TXN10210,INV20101,120465,2024-09-04,Lumpsum,140549,2008.4167,Approved,Haryana
TXN10211,INV20209,119018,2025-01-24,SIP,154014,134.4981,Approved,Punjab
TXN10212,INV20122,120586,2026-03-30,SIP,45698,415.0213,Pending,Karnataka
TXN10213,INV20211,120152,2024-05-11,SIP,116615,207.3886,Approved,West Bengal
TXN10214,INV20177,119598,2025-04-20,SIP,136969,1415.9417,Pending,Haryana
TXN10215,INV20135,118632,2024-10-04,Redemption,90738,919.24,Approved,Punjab
TXN10216,INV20124,119598,2024-05-19,Lumpsum,247804,2747.9094,Approved,Uttar Pradesh
TXN10217,INV20181,119598,2025-09-28,Redemption,245763,2426.6681,Approved,Uttar Pradesh
TXN10218,INV20032,120465,2026-01-17,Redemption,203654,2878.5018,Approved,Maharashtra
TXN10219,INV20074,120152,2023-06-11,Redemption,196910,441.1738,Pending,Telangana
TXN10220,INV20070,120465,2024-07-10,SIP,154834,2306.1364,Approved,Telangana
TXN10221,INV20058,120152,2024-04-21,SIP,189051,341.0638,Approved,Maharashtra
TXN10222,INV20247,120465,2023-11-20,Redemption,53286,1002.5588,Approved,Gujarat
TXN10223,INV20074,120152,2023-05-02,Lumpsum,190560,440.5767,Approved,Karnataka
TXN10224,INV20107,119598,2023-03-16,Redemption,197346,2982.0124,Approved,Maharashtra
TXN10225,INV20003,120586,2026-03-09,Redemption,169116,1434.402,Pending,Karnataka
TXN10226,INV20218,120465,2025-08-16,Lumpsum,87686,1269.1562,Pending,Uttar Pradesh
TXN10227,INV20184,119598,2023-01-29,Lumpsum,199517,2935.6104,Pending,West Bengal
TXN10228,INV20132,120586,2023-06-27,SIP,37860,474.8526,Pending,Maharashtra
TXN10229,INV20067,118632,2024-04-27,Lumpsum,80153,909.1167,Approved,Uttar Pradesh
TXN10230,INV20168,120586,2024-04-28,SIP,42868,405.3328,Approved,Delhi
TXN10231,INV20164,120586,2025-01-22,Lumpsum,126352,1143.7675,Pending,West Bengal
TXN10232,INV20180,120465,2025-08-22,Lumpsum,157189,2242.9937,Pending,Telangana
TXN10233,INV20115,120465,2025-01-10,SIP,144562,2207.3904,Pending,Punjab
TXN10234,INV20138,119598,2023-12-03,Lumpsum,179335,2223.9129,Pending,Delhi
TXN10235,INV20231,120465,2025-07-01,Redemption,109901,1550.0846,Approved,Telangana
TXN10236,INV20119,120152,2024-09-23,Redemption,1790,2.6567,Pending,Maharashtra
TXN10237,INV20109,120586,2023-05-11,SIP,124750,1629.8667,Pending,Karnataka
TXN10238,INV20197,119598,2025-05-10,Redemption,241416,2483.9311,Pending,Delhi
TXN10239,INV20175,120152,2026-01-09,Redemption,141839,209.245,Approved,Tamil Nadu
TXN10240,INV20214,119018,2023-02-16,Redemption,143723,177.9715,Pending,Tamil Nadu
TXN10241,INV20064,118632,2024-12-09,Lumpsum,230430,2315.7072,Pending,Maharashtra
TXN10242,INV20208,120152,2025-05-08,Lumpsum,27449,43.7047,Pending,Punjab
TXN10243,INV20173,120152,2023-04-10,SIP,62430,148.2423,Approved,Karnataka
TXN10244,INV20129,120586,2024-04-24,Redemption,230705,2195.3088,Pending,West Bengal
TXN10245,INV20077,120586,2023-05-05,Redemption,13290,175.4455,Pending,Telangana
TXN10246,INV20082,120152,2025-02-05,SIP,49202,80.0304,Pending,Tamil Nadu
TXN10247,INV20218,119598,2024-09-07,Redemption,148426,1484.1442,Pending,Telangana
TXN10248,INV20136,119598,2025-03-06,Lumpsum,170530,1865.2019,Pending,Gujarat
TXN10249,INV20024,120465,2024-01-26,Lumpsum,159589,2773.5315,Pending,Tamil Nadu
TXN10250,INV20206,120465,2026-02-18,Redemption,238773,3331.5613,Approved,Tamil Nadu
TXN10251,INV20240,119598,2023-08-29,Lumpsum,185488,2406.6253,Pending,Telangana
TXN10252,INV20083,120586,2025-02-18,Lumpsum,81851,747.7026,Pending,Haryana
TXN10253,INV20026,120152,2025-08-19,Lumpsum,109509,166.2467,Pending,Karnataka
TXN10254,INV20005,120586,2026-07-02,Lumpsum,87472,734.2567,Pending,Haryana
TXN10255,INV20141,120152,2024-11-22,Redemption,169216,270.5521,Pending,Karnataka
TXN10256,INV20188,120586,2023-12-13,Lumpsum,241359,2581.6558,Approved,Telangana
TXN10257,INV20009,119018,2023-04-10,Redemption,166334,207.7147,Approved,Maharashtra
TXN10258,INV20056,120465,2025-07-22,SIP,175785,2515.1667,Pending,Haryana
TXN10260,INV20129,120152,2025-05-31,SIP,138464,214.3243,Pending,Punjab
TXN10261,INV20135,120586,2024-12-26,Redemption,107437,940.2853,Pending,Tamil Nadu
TXN10262,INV20077,120152,2023-06-15,SIP,99872,222.3811,Approved,Maharashtra
TXN10263,INV20180,119598,2023-06-19,Redemption,87840,1171.2047,Pending,Telangana
TXN10264,INV20236,119018,2024-04-15,Redemption,243262,220.3446,Approved,Telangana
TXN10266,INV20238,119018,2024-09-04,Lumpsum,223676,177.6937,Pending,West Bengal
TXN10267,INV20194,120152,2023-10-14,Lumpsum,91664,190.1478,Pending,Tamil Nadu
TXN10269,INV20059,120586,2026-06-02,Redemption,154583,1338.4968,Pending,Punjab
TXN10270,INV20076,119598,2023-05-31,Lumpsum,187561,2560.018,Approved,West Bengal
TXN10271,INV20082,120586,2023-08-07,SIP,117584,1399.6429,Approved,Delhi
TXN10272,INV20034,119018,2024-01-19,Redemption,135333,127.6671,Approved,Delhi
TXN10274,INV20232,119598,2026-03-17,Redemption,71495,727.2463,Pending,Karnataka
TXN10275,INV20017,119598,2025-06-09,Redemption,206171,2012.2902,Approved,Tamil Nadu
TXN10276,INV20185,120152,2025-10-12,Redemption,80864,121.1027,Pending,Gujarat
TXN10277,INV20216,120465,2025-02-17,Redemption,214772,3350.5772,Approved,Uttar Pradesh
TXN10278,INV20083,120465,2024-02-16,Redemption,105396,1777.3356,Approved,Haryana
TXN10279,INV20248,120465,2024-05-11,Redemption,207010,3350.7608,Pending,Punjab
TXN10281,INV20205,120586,2023-05-22,Redemption,80385,1049.1386,Approved,West Bengal
TXN10282,INV20203,118632,2023-01-06,Redemption,141081,2365.9439,Pending,Telangana
TXN10283,INV20010,120586,2026-01-04,SIP,173386,1350.3583,Approved,Punjab
TXN10284,INV20012,120465,2025-03-29,Redemption,26849,408.9095,Pending,Haryana
TXN10285,INV20096,118632,2025-08-06,Redemption,127555,1278.2522,Pending,Delhi
TXN10286,INV20030,120152,2023-10-18,Lumpsum,206591,429.7202,Pending,Gujarat
TXN10287,INV20122,119018,2025-06-16,Redemption,12713,10.4564,Pending,Maharashtra
TXN10288,INV20218,120586,2023-08-12,Lumpsum,145679,1742.5718,Pending,Haryana
TXN10289,INV20060,118632,2024-01-13,Redemption,194301,2376.0586,Pending,Haryana
TXN10290,INV20152,118632,2025-03-07,Lumpsum,198217,2224.1709,Pending,Punjab
TXN10291,INV20027,120465,2024-01-18,Redemption,30872,535.8792,Pending,Telangana
TXN10292,INV20248,120152,2024-03-10,Redemption,92206,165.348,Pending,Punjab
TXN10293,INV20045,120152,2024-09-01,SIP,63540,97.0512,Approved,Gujarat
TXN10294,INV20178,119598,2025-12-11,Redemption,151681,1432.6761,Approved,Haryana
TXN10295,INV20163,120465,2023-12-21,Redemption,50046,880.6264,Pending,Punjab
TXN10296,INV20014,120586,2023-01-20,SIP,101648,1344.9061,Pending,West Bengal
TXN10297,INV20176,118632,2025-01-05,Redemption,149215,1535.6535,Pending,Uttar Pradesh
TXN10298,INV20009,120586,2024-04-05,SIP,149281,1423.2148,Pending,Telangana
TXN10299,INV20131,119018,2026-03-18,Lumpsum,216818,183.3829,Approved,Haryana
TXN10300,INV20140,119598,2025-05-20,Lumpsum,9449,94.2091,Pending,Delhi
TXN10301,INV20113,119018,2024-04-30,Redemption,160976,143.3784,Approved,Punjab
TXN10302,INV20036,119598,2024-02-28,Redemption,157462,1857.1632,Pending,Uttar Pradesh
TXN10303,INV20075,120465,2024-07-01,SIP,206964,3090.3987,Approved,Uttar Pradesh
TXN10304,INV20222,120152,2023-09-17,Lumpsum,85435,173.7105,Pending,Haryana
TXN10305,INV20037,120465,2024-04-07,Redemption,167101,2666.3635,Pending,West Bengal
TXN10306,INV20132,120152,2024-07-23,Redemption,86796,136.8433,Pending,Haryana
TXN10307,INV20163,120152,2025-01-03,Lumpsum,113628,179.3442,Pending,Uttar Pradesh
TXN10308,INV20083,120586,2024-11-22,Redemption,235397,2053.0002,Approved,Maharashtra
TXN10309,INV20026,120152,2025-07-30,SIP,42414,64.7189,Approved,West Bengal
TXN10310,INV20052,120152,2023-09-28,SIP,230794,479.6268,Pending,Uttar Pradesh
TXN10311,INV20022,120586,2023-12-05,Redemption,191313,2057.3503,Pending,West Bengal
TXN10312,INV20168,119018,2023-07-14,Lumpsum,35786,40.1392,Pending,Maharashtra
TXN10313,INV20003,120152,2024-12-04,Redemption,126226,195.8249,Pending,Delhi
TXN10314,INV20188,119018,2023-07-31,Redemption,36947,40.4128,Approved,Karnataka
TXN10315,INV20018,120465,2026-02-27,SIP,190381,2717.0116,Approved,West Bengal
TXN10316,INV20158,120152,2025-06-25,SIP,37703,57.2005,Pending,Gujarat
TXN10317,INV20247,118632,2024-10-06,Lumpsum,23085,233.8674,Approved,Maharashtra
TXN10318,INV20218,120152,2024-09-09,Lumpsum,50452,77.7722,Approved,Maharashtra
TXN10319,INV20201,119598,2025-10-10,SIP,168269,1626.7195,Approved,Gujarat
