date,scheme_code,scheme_name,scheme_category,fund_house,nav
2013-03-06,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0779
2013-03-07,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1368
2013-03-08,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2733
2013-03-09,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2733
2013-03-10,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2733
2013-03-11,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2265
2013-03-12,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1646
2013-03-13,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9586
2013-03-14,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1321
2013-03-15,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0574
2013-03-16,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0574
2013-03-17,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0574
2013-03-18,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9688
2013-03-19,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7101
2013-03-20,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4866
2013-03-21,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4908
2013-03-22,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4563
2013-03-23,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4563
2013-03-24,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4563
2013-03-25,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4002
2013-03-26,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4772
2013-03-27,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4772
2013-03-28,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.578
2013-03-29,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.578
2013-03-30,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.578
2013-03-31,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.578
2013-04-01,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.6324
2013-04-02,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.8124
2013-04-03,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.6549
2013-04-04,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4167
2013-04-05,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4782
2013-04-06,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4782
2013-04-07,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4782
2013-04-08,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4526
2013-04-09,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3266
2013-04-10,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4579
2013-04-11,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.5316
2013-04-12,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3635
2013-04-13,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3635
2013-04-14,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3635
2013-04-15,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4536
2013-04-16,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7055
2013-04-17,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7107
2013-04-18,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9167
2013-04-19,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9167
2013-04-20,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9167
2013-04-21,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9167
2013-04-22,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0431
2013-04-23,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9829
2013-04-24,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9829
2013-04-25,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0593
2013-04-26,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0531
2013-04-27,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0531
2013-04-28,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.0531
2013-04-29,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1084
2013-04-30,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1086
2013-05-01,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1086
2013-05-02,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.229
2013-05-03,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1115
2013-05-04,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1115
2013-05-05,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1115
2013-05-06,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2356
2013-05-07,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.3852
2013-05-08,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.3518
2013-05-09,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2864
2013-05-10,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.3731
2013-05-11,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.3731
2013-05-12,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.3731
2013-05-13,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1432
2013-05-14,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2231
2013-05-15,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.5276
2013-05-16,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.5877
2013-05-17,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.6518
2013-05-18,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.6518
2013-05-19,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.6518
2013-05-20,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.5075
2013-05-21,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.395
2013-05-22,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2804
2013-05-23,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9275
2013-05-24,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9741
2013-05-25,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9741
2013-05-26,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9741
2013-05-27,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1468
2013-05-28,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.2241
2013-05-29,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1521
2013-05-30,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,14.1108
2013-05-31,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9164
2013-06-01,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9164
2013-06-02,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.9164
2013-06-03,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.8393
2013-06-04,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.8528
2013-06-05,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.8796
2013-06-06,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.8693
2013-06-07,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7436
2013-06-08,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7436
2013-06-09,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.7436
2013-06-10,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.6318
2013-06-11,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3795
2013-06-12,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.3408
2013-06-13,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.199
2013-06-14,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4526
2013-06-15,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4526
2013-06-16,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4526
2013-06-17,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.5024
2013-06-18,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4342
2013-06-19,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.4689
2013-06-20,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.142
2013-06-21,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.1933
2013-06-22,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.1933
2013-06-23,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.1933
2013-06-24,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,12.9791
2013-06-25,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,12.9839
2013-06-26,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,12.9478
2013-06-27,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.1137
2013-06-28,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,Nippon India Mutual Fund,13.445
